id,name,date_birth,department,email,phonenumber,yearly_salary,city,hire_date,termination_date,status,gender,job_title
15283,Natalia Tatiana Rivera Urrutia,1984-11-29,Finance,natalia.rivera@coddiy.com,569-95584966,35468.66,Rinconada,2022-10-17,,Active,Female,Finance Director
72620,Patricio Elías Moyano Hernández,1986-08-07,Finance,patricio.moyano@coddiy.com,569-53781156,42876.84,Loncoche,2023-03-13,,Active,Male,Bookkeeper
64169,Paloma Valentina Palacios Ferreira,1991-05-31,Human Resources,paloma.palacios@coddiy.com,569-82255149,45493.88,Quellón,2024-05-05,2025-01-10,Inactive,Female,HR Generalist
51988,Andrea María Jara Castro,1987-10-05,Marketing,andrea.jara@coddiy.com,569-88540637,48918.64,Ñiquén,2023-06-22,2025-02-15,Inactive,Female,Social Media Manager
8759,Francisco Juan Jara Gutiérrez,1979-05-30,Finance,francisco.jara@coddiy.com,569-49767880,37358.01,Renca,2021-06-26,,Active,Male,Accountant
32261,Armando Montecinos,1989-10-13,Marketing,armando.montecinos@coddiy.com,569-34743454,49939.63,Buin,2023-12-15,,Active,Male,Copywriter
5776,Juan Sebastián Troncoso Godoy,1978-07-23,IT,juan.troncoso@coddiy.com,569-99231568,37178.96,Renaico,2021-04-13,,Active,Male,Machine Learning Engineer
70807,Daniela Hernández Alfaro,1994-01-05,IT,daniela.hernandez@coddiy.com,569-20947916,43173.51,Valparaíso,2024-12-17,2025-04-02,Inactive,Female,IT Support Specialist
37138,Mario Martín Poblete Figueroa,1993-07-02,Human Resources,mario.poblete@coddiy.com,569-43539858,47235.12,Guaitecas,2024-11-03,,Active,Male,People Operations Specialist
44073,Héctor Andrés Muñoz Ramírez,1978-09-14,Operations,hector.munoz@coddiy.com,569-49356063,35590.65,San Pedro de la Paz,2021-04-25,,Active,Male,Logistics Specialist
54828,Verónica Figueroa Peña,1984-04-24,Marketing,veronica.figueroa@coddiy.com,569-19546553,33190.99,Porvenir,2022-08-26,,Active,Female,Marketing Director
62906,Javiera Rodríguez,1993-12-09,Finance,javiera.rodriguez@coddiy.com,569-62257061,38996.39,Coihueco,2024-12-11,,Active,Female,Bookkeeper
6557,Cristian Pedro Velásquez Reyes,1986-06-13,Marketing,cristian.velasquez@coddiy.com,569-94735715,36046.59,San Vicente,2023-02-28,,Active,Male,Marketing Operations Manager
23112,Esteban Guillermo González Mamani,1981-01-01,Marketing,esteban.gonzalez@coddiy.com,569-68878285,38218.28,Coihueco,2021-11-11,,Active,Male,Brand Manager
79928,Fabiola Elizabeth Araya Campos,1975-04-25,Human Resources,fabiola.araya@coddiy.com,569-34165327,45635.04,Vallenar,2020-07-04,2022-03-16,Inactive,Female,HR Manager
7597,Adrián Israel Flores Hidalgo,1982-09-23,Human Resources,adrian.flores@coddiy.com,569-55841039,36635.27,Pica,2022-04-10,,Active,Male,Onboarding Coordinator
54492,Guido Ramos Carreño,1988-09-28,Marketing,guido.ramos@coddiy.com,569-34171567,37365.4,Pirque,2023-09-16,,Active,Male,Email Marketing Coordinator
9355,Yanara Linda Rodríguez Moreno,1981-02-19,Operations,yanara.rodriguez@coddiy.com,569-53162059,40284.43,San Antonio,2021-11-23,,Active,Female,Facilities Manager
75775,Isabella Millaray Donoso Quispe,1987-07-13,IT,isabella.donoso@coddiy.com,569-67234963,42769.37,Quilpué,2023-06-02,,Active,Female,Frontend Developer
77015,Iván César Ramírez Rodríguez,1983-11-10,Human Resources,ivan.ramirez@coddiy.com,569-77451247,32349.5,Sierra Gorda,2022-07-18,,Active,Male,Labor Relations Specialist
69469,Matías Danilo Bastías Sandoval,1980-04-07,Sales,matias.bastias@coddiy.com,569-47956447,30350.48,Los Andes,2021-09-08,,Active,Male,Channel Sales Manager
7063,Matilde Clara Vega Flores,1986-02-20,Finance,matilde.vega@coddiy.com,569-14695521,31828.62,El Monte,2023-02-01,2024-11-30,Inactive,Female,Internal Auditor
40966,Eugenia Lidia Castro Rivera,1988-06-17,Marketing,eugenia.castro@coddiy.com,569-84259654,44239.38,Los Sauces,2023-08-22,,Active,Female,Brand Manager
54645,Marilyn Olga Vargas Rivas,1985-05-24,Marketing,marilyn.vargas@coddiy.com,569-31490229,33577.49,Buin,2022-11-28,2023-02-01,Inactive,Male,Growth Marketing Manager
66518,Rosa Isabella Fuentealba Ferreira,1979-05-17,IT,rosa.fuentealba@coddiy.com,569-95290972,35969.25,Cañete,2021-06-22,,Active,Female,IT Project Manager
31199,Fernando Alfaro Silva,1976-07-06,IT,fernando.alfaro@coddiy.com,569-93982484,42337.79,Lo Espejo,2020-10-17,,Active,Male,Backend Developer
24611,Darwin Ortiz Núñez,1978-08-03,Sales,darwin.ortiz@coddiy.com,569-50734554,40816.75,Nogales,2021-04-15,,Active,Male,Sales Engineer
80901,Octavio Pablo Fernández Urzúa,1987-01-26,Finance,octavio.fernandez@coddiy.com,569-11645453,42832.89,San Pablo,2023-04-23,,Active,Male,Credit Analyst
49039,Paula Pino Castillo,1976-07-07,Sales,paula.pino@coddiy.com,569-94969966,39147.46,Nogales,2020-10-17,,Active,Female,Regional Sales Director
74631,Gloria Mónica Álvarez Valdés,1979-01-21,Operations,gloria.alvarez@coddiy.com,569-48094984,34505.75,San Juan de la Costa,2021-05-26,2023-02-01,Inactive,Female,Operations Analyst
66880,Antonia Zapata,1987-02-12,Marketing,antonia.zapata@coddiy.com,569-63556962,39143.19,Villa Alegre,2023-04-27,,Active,Female,Performance Marketing Analyst
69375,Yuliana Vilma Rivas Olave,1995-02-03,IT,yuliana.rivas@coddiy.com,569-39431271,40852.81,Pencahue,2025-03-21,,Active,Female,DevOps Engineer
40891,Fabiola Isidora Rebolledo Hermosilla,1991-10-01,IT,fabiola.rebolledo@coddiy.com,569-94027768,46821.81,Curaco de Vélez,2024-06-03,2025-03-24,Inactive,Female,Mobile App Developer
70572,Rosa Guajardo,1975-07-05,Finance,rosa.guajardo@coddiy.com,569-80944588,45332.24,Peumo,2020-07-21,2023-04-08,Inactive,Female,Compliance Analyst
55139,Felipe Ignacio Maldonado Olguín,1983-08-08,Human Resources,felipe.maldonado@coddiy.com,569-50668167,33831.79,Alto Biobío,2022-06-25,,Active,Male,Onboarding Coordinator
30347,Carlos Jorge San Martín Torres,1978-01-24,Finance,carlos.@coddiy.com,569-94951331,40869.93,Pucón,2021-03-01,,Active,Male,Financial Planner
10094,Miguel Luis Tapia Zamorano,1982-01-29,Sales,miguel.tapia@coddiy.com,569-27193682,40945.68,Placilla,2022-02-13,2023-04-19,Inactive,Male,Enterprise Sales Executive
48013,Antonio Yáñez Martinez,1975-01-14,Finance,antonio.yanez@coddiy.com,569-16284130,45694.23,Padre Las Casas,2020-06-10,,Active,Male,Cost Analyst
28648,Carlos Gaete Arriagada,1977-08-27,Finance,carlos.gaete@coddiy.com,569-15311255,46848.48,Santa María,2021-01-24,2022-02-10,Inactive,Male,Risk Analyst
73196,Luis Johan Pereira González,1982-11-11,Human Resources,luis.pereira@coddiy.com,569-55018924,47859.94,Mostazal,2022-04-22,,Active,Male,HR Data Analyst
12055,Pablo Luis Jara-Araneda Acevedo,1978-03-03,Marketing,pablo.jara-araneda@coddiy.com,569-15788926,33440.0,Peumo,2021-03-10,,Active,Male,Communications Specialist
28951,Luis José Torres Céspedes,1993-06-07,IT,luis.torres@coddiy.com,569-54459214,36515.02,Codegua,2024-10-28,,Active,Male,IT Support Specialist
34990,Rosa Scarlette Villalobos Alfaro,1983-09-22,Operations,rosa.villalobos@coddiy.com,569-27399734,38985.77,Antofagasta,2022-07-06,,Active,Female,Scheduling Analyst
73870,Luciano Díaz Garcés,1986-09-19,IT,luciano.diaz@coddiy.com,569-34670198,38501.99,Requínoa,2023-03-23,,Active,Male,DevOps Engineer
71200,Uberlinda Inés Castillo Morales,1986-07-24,Sales,uberlinda.castillo@coddiy.com,569-50958066,37169.7,Antofagasta,2023-03-10,,Active,Female,Account Executive
35478,Néstor Avendaño,1992-08-03,Human Resources,nestor.avendano@coddiy.com,569-80810277,38985.88,Futrono,2024-08-15,,Active,Male,Diversity and Inclusion Manager
25872,David Luis Cerda Campos,1989-02-11,Human Resources,david.cerda@coddiy.com,569-24986088,47107.6,El Quisco,2023-10-18,,Active,Male,HR Business Partner
12942,Carolina Oyarzún Henríquez,1982-01-01,Marketing,carolina.oyarzun@coddiy.com,569-94597127,48114.17,Longaví,2022-02-06,2023-12-09,Inactive,Female,Marketing Operations Manager
68948,Pedro Martínez Pinto,1978-10-18,Finance,pedro.martinez@coddiy.com,569-54616566,34180.32,Quinchao,2021-05-03,2024-10-14,Inactive,Male,Accountant
63173,Adela Lilian Jara Jara,1984-05-28,IT,adela.jara@coddiy.com,569-76329051,43183.75,Estación Central,2022-09-03,2025-03-01,Inactive,Female,Business Intelligence Analyst
4676,María Patricia Gálvez Ramírez,1989-09-15,Human Resources,maria.galvez@coddiy.com,569-27411626,34569.94,Taltal,2023-12-09,,Active,Female,Training and Development Specialist
47927,Matilde Díaz,1980-04-13,IT,matilde.diaz@coddiy.com,569-15559371,31668.85,Cerro Navia,2021-09-10,,Active,Female,Frontend Developer
1752,Luis Wilson Cid Cisterna,1988-03-01,Operations,luis.cid@coddiy.com,569-51620598,43256.58,Treguaco,2023-07-27,2025-04-04,Inactive,Male,Purchasing Assistant
82920,Claudio Ernesto Molina Sanhueza,1985-09-14,Marketing,claudio.molina@coddiy.com,569-10613235,49924.94,Padre Las Casas,2022-12-25,,Active,Male,Social Media Manager
49179,Julián Amador Ramírez Fernández,1987-09-28,Finance,julian.ramirez@coddiy.com,569-69343358,34824.98,Cobquecura,2023-06-20,2024-09-26,Inactive,Male,Credit Analyst
24202,Sonia Arenas,1985-01-18,Finance,sonia.arenas@coddiy.com,569-65077971,32941.16,Cauquenes,2022-10-29,,Active,Female,Accounts Receivable Specialist
45206,Vanesa Belén Aburto Ramírez,1979-09-12,IT,vanesa.aburto@coddiy.com,569-80423074,37872.88,Placilla,2021-07-21,,Active,Female,Backend Developer
81121,Antonio Castro,1991-02-02,Sales,antonio.castro@coddiy.com,569-53162529,33701.21,Palmilla,2024-04-07,2024-11-03,Inactive,Male,Retail Sales Associate
26876,Gloria Quezada Mondaca,1989-01-11,Marketing,gloria.quezada@coddiy.com,569-68436989,31237.94,Mariquina,2023-10-11,,Active,Female,Marketing Operations Manager
24717,Samantha Liliana Ojeda Moreno,1990-11-29,Operations,samantha.ojeda@coddiy.com,569-46721683,48014.36,Puqueldón,2024-03-22,2024-09-30,Inactive,Female,Operations Analyst
26359,Melissa Cárcamo Poblete,1974-09-14,Operations,melissa.carcamo@coddiy.com,569-65812253,34467.78,La Ligua,2020-05-12,2024-07-17,Inactive,Female,Scheduling Analyst
6393,Judith Troncoso Cavieres,1982-02-15,Human Resources,judith.troncoso@coddiy.com,569-49273520,30970.2,Lolol,2022-02-17,,Active,Male,HR Assistant
13084,Sergio Marín,1982-02-01,Sales,sergio.marin@coddiy.com,569-43442886,38285.9,Parral,2022-02-14,2024-09-27,Inactive,Male,Retail Sales Associate
80499,Luis Lucas Araya Bustamante,1990-09-22,Sales,luis.araya@coddiy.com,569-17958591,32249.57,Puerto Octay,2024-03-06,,Active,Male,Territory Manager
34268,Juan Andrés Lizama Velásquez,1982-06-08,Human Resources,juan.lizama@coddiy.com,569-29728967,30042.43,Laguna Blanca,2022-03-16,,Active,Male,HR Assistant
14794,Gabriela Mónica Guzmán Rivera,1989-06-13,IT,gabriela.guzman@coddiy.com,569-21451174,48385.32,Quinta de Tilcoco,2023-11-16,,Active,Female,Solutions Architect
63529,Zulema María Matamala Fernández,1993-01-22,Operations,zulema.matamala@coddiy.com,569-83510396,33072.59,Zapallar,2024-09-25,,Active,Female,Manufacturing Supervisor
43458,Marcial Manuel Prado Castillo,1989-08-25,Operations,marcial.prado@coddiy.com,569-21036873,40131.33,Pucón,2023-12-04,,Active,Male,Distribution Supervisor
65050,Juan Darío Zamorano Méndez,1981-06-02,Human Resources,juan.zamorano@coddiy.com,569-60188075,45770.4,Vichuquén,2021-12-17,,Active,Male,HR Coordinator
41741,Edith Muñoz,1991-08-19,Operations,edith.munoz@coddiy.com,569-87663970,48297.68,Pencahue,2024-05-24,,Active,Male,Production Planner
41169,María Albornoz Barría,1978-02-13,Marketing,maria.albornoz@coddiy.com,569-79965122,36046.53,Olivar,2021-03-05,,Active,Female,Influencer Marketing Manager
26282,Claudia Aurora Coronado Pérez,1990-08-20,Finance,claudia.coronado@coddiy.com,569-88988079,30186.67,Concepción,2024-02-27,2024-06-06,Inactive,Female,Accountant
56746,Jonathan Alan Rojas Carmona,1979-09-26,Marketing,jonathan.rojas@coddiy.com,569-82258316,40395.34,Cunco,2021-07-24,,Active,Male,Graphic Designer
16103,Isabel Yasna Neira Burgos,1983-06-13,Human Resources,isabel.neira@coddiy.com,569-94660231,38018.96,Catemu,2022-06-12,2025-03-23,Inactive,Female,Labor Relations Specialist
77420,Eloísa Marisol Pino Vera,1985-06-03,Human Resources,eloisa.pino@coddiy.com,569-20355632,42526.25,La Florida,2022-12-01,,Active,Female,Recruiter
50323,Yasna Fuentealba Echeverría,1987-02-15,Operations,yasna.fuentealba@coddiy.com,569-99827047,49363.35,Valparaíso,2023-04-28,,Active,Female,Demand Planner
77894,Catalina Vega González,1975-12-08,Human Resources,catalina.vega@coddiy.com,569-65671532,47093.33,Purén,2020-08-27,,Active,Female,Diversity and Inclusion Manager
80581,Juan Pablo Córdova Rodríguez,1974-06-28,Operations,juan.cordova@coddiy.com,569-95792865,39295.01,Nogales,2020-04-24,,Active,Male,Operations Manager
27720,Alejandra Gladys Roa Cabello,1989-02-20,Operations,alejandra.roa@coddiy.com,569-81386199,31959.1,La Higuera,2023-10-20,,Active,Female,Manufacturing Supervisor
31241,Martina Araya Valenzuela,1988-10-14,Human Resources,martina.araya@coddiy.com,569-76210335,35916.76,Máfil,2023-09-19,2024-03-21,Inactive,Female,HR Data Analyst
10343,Berta Álvarez Mondaca,1982-01-09,IT,berta.alvarez@coddiy.com,569-69637613,38833.42,Lo Barnechea,2022-02-08,,Active,Female,Security Analyst
61428,Carlos Montecino,1988-02-01,Human Resources,carlos.montecino@coddiy.com,569-73926298,45966.86,Río Claro,2023-07-20,,Active,Male,Labor Relations Specialist
22249,Alejandra González-Araya,1981-04-13,Sales,alejandra.gonzalez-araya@coddiy.com,569-69680519,47206.86,Licantén,2021-12-06,,Active,Female,Inside Sales Associate
74007,María Camila Inostroza Huerta,1988-08-31,Finance,maria.inostroza@coddiy.com,569-52038874,34900.79,San Javier,2023-09-09,,Active,Female,Financial Planner
22750,Eliana Díaz,1995-01-21,Marketing,eliana.diaz@coddiy.com,569-45311693,42237.25,Valparaíso,2025-03-18,,Active,Female,Brand Manager
51190,Jessica Anahí Díaz Muñoz,1995-03-15,Sales,jessica.diaz@coddiy.com,569-41574912,33502.32,San Clemente,2025-03-31,,Active,Female,Sales Manager
53638,Roberto Daniel Canales Cornejo,1994-10-06,Marketing,roberto.canales@coddiy.com,569-12884171,46234.01,Quellón,2025-02-21,,Active,Male,Digital Marketing Analyst
25105,Juana Torres Sáez,1978-09-26,Human Resources,juana.torres@coddiy.com,569-99650753,33358.76,Lautaro,2021-04-28,,Active,Female,HR Generalist
302,Felipe Cáceres Vargas,1985-09-18,Marketing,felipe.caceres@coddiy.com,569-72574537,41606.16,La Serena,2022-12-26,2024-12-10,Inactive,Male,Social Media Manager
67532,Camila Mariana Vásquez Medina,1979-06-11,Sales,camila.vasquez@coddiy.com,569-83029567,38951.04,San Javier,2021-06-29,,Active,Female,Key Account Manager
25690,Luis Edmundo Cid Gutiérrez,1995-02-18,IT,luis.cid@coddiy.com,569-88091593,32831.6,Perquenco,2025-03-25,,Active,Male,IT Support Specialist
3320,Ester Marisa Lara Ahumada,1990-04-17,Marketing,ester.lara@coddiy.com,569-26912119,44159.13,Maullín,2024-01-29,,Active,Female,Marketing Specialist
69207,Ana Javiera Cabrera Caro,1980-01-25,Finance,ana.cabrera@coddiy.com,569-83664617,49584.5,San Ramón,2021-08-22,,Active,Female,Cost Analyst
82033,Ramón Josue Morales Cubillos,1979-06-15,Finance,ramon.morales@coddiy.com,569-96560221,48292.17,Puerto Montt,2021-06-29,,Active,Male,Cost Analyst
