id,name,date_birth,department,email,phonenumber,yearly_salary,city,hire_date,termination_date
74996,Alberto Roberto Jara Pereira,1993-03-23,Finance,albertorobertojarapereira@cod.diy.com,569-62139727,45091.14,Los Lagos,2024-10-10,
68935,Delia Troncoso Brito,1983-02-13,Marketing,deliatroncosobrito@cod.diy.com,569-88410248,30234.15,La Serena,2022-05-14,2024-12-18
37788,Benito Matías Hernández Varas,1990-01-25,Operations,benitomatiashernandezvaras@cod.diy.com,569-57691475,33069.45,Cauquenes,2024-01-09,
83281,Gabriel Ramón Lara Valdés,1977-05-12,Human Resources,gabrielramonlaravaldes@cod.diy.com,569-39848099,44321.85,Pemuco,2020-12-29,
59671,Mario Luciano Salazar Marín,1978-03-20,Finance,mariolucianosalazarmarin@cod.diy.com,569-68393359,30468.95,Río Hurtado,2021-03-14,
6027,Maira Isidora Bravo Pérez,1993-05-20,Operations,mairaisidorabravoperez@cod.diy.com,569-91686234,43859.35,Curarrehue,2024-10-24,
82955,Felipe Morales Muñoz,1986-04-18,Marketing,felipemoralesmunoz@cod.diy.com,569-71535966,31540.61,Punta Arenas,2023-02-15,
76900,Patricio Juan Ramírez Chandía,1992-04-17,Sales,patriciojuanramirezchandia@cod.diy.com,569-94723044,45924.46,Llanquihue,2024-07-21,
32785,Juan Christofer Osorio Castañeda,1980-02-15,Operations,juanchristoferosoriocastaneda@cod.diy.com,569-50322813,37202.99,San Rafael,2021-08-27,
53178,Raquel Nélida León Silva,1992-11-24,Operations,raquelnelidaleonsilva@cod.diy.com,569-37367774,44794.03,Putre,2024-09-11,
80268,Marcos Fabián Muñoz Vejar,1992-10-29,Marketing,marcosfabianmunozvejar@cod.diy.com,569-83933625,44499.84,Calle Larga,2024-09-05,
39191,Maritza Rocío Bello Astudillo,1994-10-13,Marketing,maritzarociobelloastudillo@cod.diy.com,569-63371664,35681.61,Guaitecas,2025-02-22,
56705,Anahí Álvarez,1993-12-04,Sales,anahialvarez@cod.diy.com,569-93232982,48991.17,Vitacura,2024-12-10,
35980,Karen Merino González,1986-07-30,Finance,karenmerinogonzalez@cod.diy.com,569-12593774,49364.2,Calbuco,2023-03-11,
81567,Miguel Avilés,1988-11-10,Sales,miguelaviles@cod.diy.com,569-23538793,36032.82,Valparaíso,2023-09-26,2024-12-25
65499,Fernanda Marta Núñez Moya,1988-03-31,Human Resources,fernandamartanunezmoya@cod.diy.com,569-18746840,34189.38,Cholchol,2023-08-04,
45970,Jacob González Jorquera,1987-09-08,Human Resources,jacobgonzalezjorquera@cod.diy.com,569-46668643,42412.4,Camarones,2023-06-16,2024-06-18
35709,Galvarino Aguilar Fernández,1984-11-21,Finance,galvarinoaguilarfernandez@cod.diy.com,569-30665421,37687.66,Natales,2022-10-16,
52806,Pamela Viviana Henríquez Vásquez,1974-08-09,Human Resources,pamelavivianahenriquezvasquez@cod.diy.com,569-98465135,42505.52,Porvenir,2020-05-04,
39355,Cristóbal Franco Bravo Ramírez,1974-09-30,Marketing,cristobalfrancobravoramirez@cod.diy.com,569-43132199,48895.71,General Lagos,2020-05-16,
49755,Anahí María Zúñiga Sánchez,1994-05-04,Operations,anahimariazunigasanchez@cod.diy.com,569-30625769,45020.54,San Javier,2025-01-15,
52554,Trinidad Magdalena Muñoz Astorga,1980-07-31,Human Resources,trinidadmagdalenamunozastorga@cod.diy.com,569-74278944,41286.98,Providencia,2021-10-06,
50171,Luis García,1975-04-24,IT,luisgarcia@cod.diy.com,569-67111540,39668.12,Lolol,2020-07-04,2020-10-09
44385,José Eduardo Mansilla Campos,1985-11-01,Operations,joseeduardomansillacampos@cod.diy.com,569-13349332,31746.43,Punta Arenas,2023-01-06,
31916,Héctor Peralta Briones,1990-05-17,Marketing,hectorperaltabriones@cod.diy.com,569-52985741,35065.55,Castro,2024-02-05,
