id,name,date_birth,department,email,phonenumber,yearly_salary,city,hire_date,termination_date
50324,Jaime Ahumada Soto,1985-09-18,Human Resources,jaimeahumadasoto@coddiy.com,569-70895084,40027.75,Pucón,2022-12-26,
73755,Gonzalo Fernández,1994-10-23,Sales,gonzalofernandez@coddiy.com,569-25820037,30371.52,Taltal,2025-02-24,2025-03-19
72637,Carlos Guillermo Sepúlveda Barrera,1994-08-26,Sales,carlosguillermosepulvedabarrera@coddiy.com,569-27167498,40967.08,Río Bueno,2025-02-11,
81440,Valentina Pérez Robles,1976-07-10,Sales,valentinaperezrobles@coddiy.com,569-97247812,44876.13,Natales,2020-10-18,
44809,María Rayén Fernández Sánchez,1982-02-17,Finance,mariarayenfernandezsanchez@coddiy.com,569-75232185,36482.35,Retiro,2022-02-17,
45092,Francisca Ximena Méndez Figueroa,1981-07-27,Marketing,franciscaximenamendezfigueroa@coddiy.com,569-54167171,45251.43,Alto Biobío,2021-12-31,
10400,María Carolina Oliva Aguilar,1976-07-23,Marketing,mariacarolinaolivaaguilar@coddiy.com,569-11528540,48978.89,Timaukel,2020-10-21,
61540,Omar Joel Figueroa Osorio,1984-08-06,Sales,omarjoelfigueroaosorio@coddiy.com,569-27928038,46824.11,Navidad,2022-09-20,2024-07-21
45036,Yasna Magali Vera Rivera,1987-11-22,Human Resources,yasnamagaliverarivera@coddiy.com,569-44965746,48591.39,Temuco,2023-07-04,
49628,Arturo Peña Ortiz,1982-05-27,IT,arturopenaortiz@coddiy.com,569-27949721,49447.77,Ránquil,2022-03-13,2024-04-15
57991,Rafaella Paulina López Saavedra,1976-03-04,Sales,rafaellapaulinalopezsaavedra@coddiy.com,569-78596232,38594.75,Alhué,2020-09-17,
19651,Juan Calderón Miranda,1989-06-18,Sales,juancalderonmiranda@coddiy.com,569-69912081,44666.82,Hualaihué,2023-11-17,
43639,Pablo Mora,1986-07-04,Marketing,pablomora@coddiy.com,569-36166386,45280.48,Ollagüe,2023-03-05,
42692,Luis Burgos Toro,1979-11-15,Finance,luisburgostoro@coddiy.com,569-56752745,30762.25,Palmilla,2021-08-05,2023-07-31
72153,Carlos Andrés Romero Bello,1982-04-11,Marketing,carlosandresromerobello@coddiy.com,569-33151767,39566.99,Maipú,2022-03-02,
53512,Johana Ruth Parada Órdenes,1983-12-02,Finance,johanaruthparadaordenes@coddiy.com,569-18324640,36342.49,Perquenco,2022-07-23,
61559,Luis Sebastián Becerra Carrasco,1977-05-14,Sales,luissebastianbecerracarrasco@coddiy.com,569-68964073,33998.48,Santo Domingo,2020-12-30,2022-06-04
73603,Paulina Fonseca,1986-04-11,Sales,paulinafonseca@coddiy.com,569-19124635,48198.25,Lo Barnechea,2023-02-13,
54887,Rubén Riquelme,1981-09-12,IT,rubenriquelme@coddiy.com,569-60756928,40133.36,Pumanque,2022-01-11,
18414,Paul Cristóbal Arriagada Rojas,1989-12-11,Operations,paulcristobalarriagadarojas@coddiy.com,569-37357419,39734.1,Valdivia,2023-12-29,
29256,Paz Alondra Alfaro Guerrero,1980-07-28,Finance,pazalondraalfaroguerrero@coddiy.com,569-95171891,39900.08,Carahue,2021-10-05,
27752,Diego Edson Cuevas Martínez,1976-12-26,Finance,diegoedsoncuevasmartinez@coddiy.com,569-79862677,30416.32,Hualpén,2020-11-27,
67084,Luis Hermosilla Cáceres,1981-05-22,Finance,luishermosillacaceres@coddiy.com,569-24847752,31458.38,Recoleta,2021-12-15,
32317,Muriel Peña Aros,1981-07-28,Marketing,murielpenaaros@coddiy.com,569-99291060,36629.86,Chimbarongo,2021-12-31,
67161,Francisca Vera Valenzuela,1983-01-13,Marketing,franciscaveravalenzuela@coddiy.com,569-97036014,37155.4,Portezuelo,2022-05-07,
52108,Álvaro Héctor Maldonado Valenzuela,1975-09-21,IT,alvarohectormaldonadovalenzuela@coddiy.com,569-54594620,37011.97,Negrete,2020-08-09,
46528,Matías Lucas Gallardo Bravo,1992-03-14,IT,matiaslucasgallardobravo@coddiy.com,569-43549669,48842.62,La Unión,2024-07-13,
74295,Mónica Jennifer Olivares Rosas,1992-05-06,Human Resources,monicajenniferolivaresrosas@coddiy.com,569-31386644,30409.28,Cholchol,2024-07-25,
11635,Patricio Manuel Valenzuela Mora,1978-12-27,Marketing,patriciomanuelvalenzuelamora@coddiy.com,569-78647695,33821.66,Chanco,2021-05-20,
953,Amalia Cordero Aguilera,1994-07-27,Sales,amaliacorderoaguilera@coddiy.com,569-51731728,37990.14,San Felipe,2025-02-04,
23731,Edwin Mauricio Cancino Montes,1990-08-19,Marketing,edwinmauriciocancinomontes@coddiy.com,569-47354189,37363.05,Macul,2024-02-27,2024-10-28
50746,Pablo Ángel González Cerda,1987-05-30,Sales,pabloangelgonzalezcerda@coddiy.com,569-98229770,37465.36,Lago Verde,2023-05-23,2024-12-05
9419,Daniela Úrsula García Silva,1986-11-23,Human Resources,danielaursulagarciasilva@coddiy.com,569-16993820,39915.62,Concepción,2023-04-08,
53039,Maite Velásquez Contreras,1986-06-24,Marketing,maitevelasquezcontreras@coddiy.com,569-89220164,36877.04,Putre,2023-03-03,
43691,Juan Poblete Celis,1975-04-07,IT,juanpobletecelis@coddiy.com,569-10447699,31019.68,Mariquina,2020-06-30,
80927,José Felipe Aguilera Chávez,1975-03-22,Marketing,josefelipeaguilerachavez@coddiy.com,569-10119799,46259.92,Talcahuano,2020-06-26,
78435,Sara Magali Contreras Oñate,1979-02-05,Finance,saramagalicontrerasonate@coddiy.com,569-25830240,31179.38,Torres del Paine,2021-05-30,
23807,Pamela Constanza Salas Cárdenas,1978-03-16,IT,pamelaconstanzasalascardenas@coddiy.com,569-92660679,39290.72,Hualqui,2021-03-13,
10063,Bruno Arévalo,1986-12-26,Sales,brunoarevalo@coddiy.com,569-48652881,41505.07,Máfil,2023-04-16,2023-08-16
70738,Camila Zavala,1982-10-22,Sales,camilazavala@coddiy.com,569-58828983,37387.5,Quinta Normal,2022-04-17,2024-10-23
67933,Ricardo Leonardo Carrillo-Castro Pereira,1978-12-18,IT,ricardoleonardocarrillo-castropereira@coddiy.com,569-95870881,47112.58,Vilcún,2021-05-18,
12454,Sofía Vega,1982-11-13,Marketing,sofiavega@coddiy.com,569-30035149,39490.77,Cochrane,2022-04-22,
49183,Raúl Julián Leiva Concha,1979-06-10,Marketing,rauljulianleivaconcha@coddiy.com,569-23669499,45358.82,Castro,2021-06-28,
57092,Franco Leonardo Álvarez Elgueta,1982-08-01,Finance,francoleonardoalvarezelgueta@coddiy.com,569-41849120,47253.86,Talcahuano,2022-03-29,
8689,Daniel Rodríguez Palacios,1989-02-17,Sales,danielrodriguezpalacios@coddiy.com,569-31693234,46891.83,San Javier,2023-10-19,2023-11-23
65706,Manuel Lobos-Toledo Hernández,1987-02-17,Operations,manuellobos-toledohernandez@coddiy.com,569-45447544,31630.92,Río Bueno,2023-04-28,
18172,Patricia Paz Leyton Órdenes,1976-05-26,Operations,patriciapazleytonordenes@coddiy.com,569-82682825,34461.85,Llanquihue,2020-10-07,
72884,Edwin Valenzuela Gutiérrez,1988-02-12,Operations,edwinvalenzuelagutierrez@coddiy.com,569-25353789,33011.8,Chimbarongo,2023-07-23,
13149,Carlos Luis Cárdenas González,1989-07-04,IT,carlosluiscardenasgonzalez@coddiy.com,569-56969312,45451.38,Cabo de Hornos,2023-11-21,
7318,Cristina Álvarez García,1991-03-24,Operations,cristinaalvarezgarcia@coddiy.com,569-32135710,41467.48,Hualaihué,2024-04-19,
78300,Erick Eduardo López Tapia,1989-10-18,Operations,erickeduardolopeztapia@coddiy.com,569-47336966,45556.95,Coelemu,2023-12-16,2024-12-20
8362,Mónica Pérez,1976-07-26,Operations,monicaperez@coddiy.com,569-78291290,39150.18,Loncoche,2020-10-21,
24238,María Emelina Ruiz Aguilera,1982-10-30,Sales,mariaemelinaruizaguilera@coddiy.com,569-34516332,41776.59,Laguna Blanca,2022-04-19,
64729,Emilio Israel Galdames Chandía,1981-09-30,IT,emilioisraelgaldameschandia@coddiy.com,569-45460347,39636.67,Toltén,2022-01-15,
5669,Marco Jorge Norambuena Paredes,1992-07-11,Operations,marcojorgenorambuenaparedes@coddiy.com,569-80552945,40090.63,Cisnes,2024-08-10,
13766,Juan Lucas Azócar Medina,1989-03-11,Operations,juanlucasazocarmedina@coddiy.com,569-82398549,40873.76,Puente Alto,2023-10-25,2023-12-25
35777,Rafael Baez Aravena,1992-05-07,Marketing,rafaelbaezaravena@coddiy.com,569-48735870,40805.34,Natales,2024-07-25,
76078,Ignacio Maximiliano Reyes Vargas,1981-12-25,Operations,ignaciomaximilianoreyesvargas@coddiy.com,569-81137483,31136.61,San Miguel,2022-02-05,2023-11-28
47960,Eliana Amanda Iturra Lizama,1983-02-28,Human Resources,elianaamandaiturralizama@coddiy.com,569-61098071,49652.69,Constitución,2022-05-18,
14524,Javier Marcelo Flores Villalobos,1986-09-07,Sales,javiermarcelofloresvillalobos@coddiy.com,569-57876769,32185.09,Arica,2023-03-21,
48220,Sebastián Fernando Valenzuela Cárdenas,1982-09-13,Operations,sebastianfernandovalenzuelacardenas@coddiy.com,569-67298868,36454.53,Maule,2022-04-08,
51636,Carmen Gabriela Hernández Briones,1989-04-23,Human Resources,carmengabrielahernandezbriones@coddiy.com,569-51069964,38477.15,Placilla,2023-11-04,2024-11-26
13105,José Juan Navarro Herrera,1992-11-14,Finance,josejuannavarroherrera@coddiy.com,569-61985357,39825.29,Collipulli,2024-09-09,
66954,Delfina Ojeda,1979-04-03,Finance,delfinaojeda@coddiy.com,569-53054522,45952.25,Castro,2021-06-12,
15793,Fernando Rivera Torres,1988-02-15,Marketing,fernandoriveratorres@coddiy.com,569-61260351,42687.65,Villa Alemana,2023-07-24,
78702,Nicol Edita García Ortiz,1984-01-19,Human Resources,nicoleditagarciaortiz@coddiy.com,569-90749692,49007.68,Santa María,2022-08-04,
35372,Raúl Bernardo Fonseca Flores,1980-12-09,Operations,raulbernardofonsecaflores@coddiy.com,569-96516838,48778.29,Combarbalá,2021-11-06,
5430,Claudia Amalia Candia Espinoza,1980-03-16,Operations,claudiaamaliacandiaespinoza@coddiy.com,569-67333795,49846.07,Calbuco,2021-09-03,
58914,Juan Gerardo Salinas Norambuena,1975-05-09,Human Resources,juangerardosalinasnorambuena@coddiy.com,569-50241829,33579.49,Quillón,2020-07-08,
16402,Leopoldo León Prado,1994-10-29,Human Resources,leopoldoleonprado@coddiy.com,569-60749786,46694.42,Santiago,2025-02-26,
4885,Josefa Isidora Orellana Ahumada,1977-03-30,IT,josefaisidoraorellanaahumada@coddiy.com,569-72857627,34118.22,Los Andes,2020-12-19,
69230,Jessica Tapia Valenzuela,1974-08-23,Marketing,jessicatapiavalenzuela@coddiy.com,569-49684618,46900.78,Hijuelas,2020-05-07,
38141,Pedro Fabián Mendoza Campos,1981-01-01,IT,pedrofabianmendozacampos@coddiy.com,569-22599765,36211.26,Los Sauces,2021-11-11,
45165,Graciela Hilda Martínez Godoy,1979-09-20,Sales,gracielahildamartinezgodoy@coddiy.com,569-10026248,37592.65,Cisnes,2021-07-23,
6669,Eugenio Rodrigo Olguín Cofré,1977-01-05,Sales,eugeniorodrigoolguincofre@coddiy.com,569-25116698,40850.07,Saavedra,2020-11-29,
14343,Rebeca Ana García Contreras,1983-05-11,Operations,rebecaanagarciacontreras@coddiy.com,569-63028571,46631.49,Colina,2022-06-04,
42056,Trinidad Iris Flores García,1985-05-16,Human Resources,trinidadirisfloresgarcia@coddiy.com,569-50614318,33576.52,Camiña,2022-11-26,2023-04-09
40352,Claudia Martínez,1988-03-17,Finance,claudiamartinez@coddiy.com,569-94652040,34577.94,Cobquecura,2023-07-31,
54255,Humberto Jorge Jara Gallardo,1978-08-21,Operations,humbertojorgejaragallardo@coddiy.com,569-22110799,44498.49,Coquimbo,2021-04-20,
47903,Rosa Florencia Henríquez Hidalgo,1985-08-10,Human Resources,rosaflorenciahenriquezhidalgo@coddiy.com,569-70095178,48253.6,Purén,2022-12-17,
23914,Pilar González Araya,1978-11-08,Marketing,pilargonzalezaraya@coddiy.com,569-65314733,34622.19,Tortel,2021-05-08,
33145,Johanna Monserrat Pereira Altamirano,1992-06-16,Operations,johannamonserratpereiraaltamirano@coddiy.com,569-29880615,49619.06,Puchuncaví,2024-08-04,
60961,José Álvaro Ortega Barrios,1991-03-07,IT,josealvaroortegabarrios@coddiy.com,569-74279852,48964.78,El Tabo,2024-04-15,2024-05-05
30431,Carmen Antonia Bravo Aguilera,1991-01-23,Human Resources,carmenantoniabravoaguilera@coddiy.com,569-73842946,46434.13,Coelemu,2024-04-05,
9940,Miguel Patricio Salazar Mancilla,1993-01-06,Human Resources,miguelpatriciosalazarmancilla@coddiy.com,569-44821580,31030.67,Contulmo,2024-09-22,
19963,Ignacia Sandra Oyarzo Lobos,1978-11-01,Human Resources,ignaciasandraoyarzolobos@coddiy.com,569-26550462,43946.02,Puyehue,2021-05-07,
51594,Yasna María Silva Hernández,1985-06-13,Finance,yasnamariasilvahernandez@coddiy.com,569-20726050,31085.48,Buin,2022-12-03,
36212,Elena Hernández,1978-05-18,Marketing,elenahernandez@coddiy.com,569-99643149,39518.43,Buin,2021-03-28,
7670,Gonzalo Torres,1988-12-18,Marketing,gonzalotorres@coddiy.com,569-60116593,44488.27,Aisén,2023-10-05,2023-10-29
60018,Matías Santos Astudillo Lagos,1982-04-21,Sales,matiassantosastudillolagos@coddiy.com,569-75828849,43851.92,Queilén,2022-03-04,
3034,Ricardo Córdova Cabrera,1975-04-20,Finance,ricardocordovacabrera@coddiy.com,569-73048926,44121.84,La Reina,2020-07-03,
58931,Johanna Amalia Salgado Guerra,1982-06-25,Operations,johannaamaliasalgadoguerra@coddiy.com,569-67878172,45993.07,Maipú,2022-03-20,
72546,Patricio Alex Córdova González,1988-08-30,IT,patricioalexcordovagonzalez@coddiy.com,569-14132422,38831.65,Nueva Imperial,2023-09-09,
8556,Máximo Araya Vera,1983-05-19,Marketing,maximoarayavera@coddiy.com,569-87814435,40200.2,Contulmo,2022-06-06,
72119,Angélica Josefa Contreras Valenzuela,1987-11-17,Finance,angelicajosefacontrerasvalenzuela@coddiy.com,569-50755288,36380.88,Limache,2023-07-02,
9700,Bernabé Solar,1988-03-17,IT,bernabesolar@coddiy.com,569-93769255,47786.3,Linares,2023-07-31,
57845,Mónica Godoy Mora,1990-08-31,Marketing,monicagodoymora@coddiy.com,569-77496632,32689.19,Antártica,2024-03-01,
65322,Luis Jorge González Araya,1987-12-13,Marketing,luisjorgegonzalezaraya@coddiy.com,569-80180030,41664.8,Renca,2023-07-09,
12556,Martín Vicente Chandía Blanco,1992-06-26,Marketing,martinvicentechandiablanco@coddiy.com,569-72697427,40234.56,Chillán Viejo,2024-08-06,
70358,Emilia Osses Ramírez,1978-04-16,Finance,emiliaossesramirez@coddiy.com,569-17115138,43004.14,Puente Alto,2021-03-20,2024-11-21
33768,Maximiliano Richard Miranda Ríos,1978-01-04,Sales,maximilianorichardmirandarios@coddiy.com,569-45865063,48701.38,Renaico,2021-02-24,
