id,name,date_birth,department,email,phonenumber,yearly_salary,city,hire_date,termination_date
77478,Javiera Antonella Muñoz Leal,1994-05-01,Sales,javieraantonellamunozleal@cod.diy.com,569-14099660,40624.65,Cochrane,2025-01-14,
13346,Katherine Viviana Zamorano Escobar,1992-08-23,Human Resources,katherinevivianazamoranoescobar@cod.diy.com,569-24511793,46723.24,Purén,2024-08-20,
12552,Felipe Contreras,1990-09-04,Finance,felipecontreras@cod.diy.com,569-45962359,32019.57,La Cruz,2024-03-02,2024-10-02
24072,Mónica Ferreira Morales,1982-05-08,Sales,monicaferreiramorales@cod.diy.com,569-33439738,46988.49,Los Lagos,2022-03-08,
57858,Ana Sofía Seguel Hurtado,1989-08-14,Finance,anasofiaseguelhurtado@cod.diy.com,569-33046042,46860.02,Maullín,2023-12-01,2024-11-17
42678,Hans Rojas,1984-10-13,Operations,hansrojas@cod.diy.com,569-43017593,33858.62,Victoria,2022-10-06,2022-12-02
33250,Fernanda Escobar,1983-10-18,Operations,fernandaescobar@cod.diy.com,569-60619254,42564.33,Licantén,2022-07-12,
81690,Abel Maicol Fernández Sandoval,1994-05-22,IT,abelmaicolfernandezsandoval@cod.diy.com,569-68252549,45176.38,Placilla,2025-01-19,2025-02-23
12307,Viviana Rojas,1974-10-04,IT,vivianarojas@cod.diy.com,569-40024642,43424.21,O'Higgins,2020-05-17,
33252,Rodrigo Maturana Rodríguez,1976-12-16,Marketing,rodrigomaturanarodriguez@cod.diy.com,569-16144554,30953.48,Teodoro Schmidt,2020-11-24,2023-05-03
81851,Maribel Olate,1988-11-09,Sales,maribelolate@cod.diy.com,569-18344578,41012.99,La Reina,2023-09-26,
24807,Yolanda Tamara Rodríguez Uribe,1992-06-15,Finance,yolandatamararodriguezuribe@cod.diy.com,569-84280790,31955.14,Camarones,2024-08-04,2024-10-23
21493,Pamela Mónica Romero Peralta,1976-11-13,IT,pamelamonicaromeroperalta@cod.diy.com,569-36133053,31698.4,Puerto Octay,2020-11-17,
37870,Gloria Oyarzún Cáceres,1974-12-25,Finance,gloriaoyarzuncaceres@cod.diy.com,569-83427667,48448.91,Melipeuco,2020-06-05,
32364,Anaís Scarleth Guerra Flores,1983-03-28,IT,anaisscarlethguerraflores@cod.diy.com,569-92431027,46800.34,Ninhue,2022-05-25,
58870,Celinda Angélica Hidalgo Tobar,1989-12-19,Sales,celindaangelicahidalgotobar@cod.diy.com,569-83510389,48639.87,Castro,2023-12-31,
